,index,image,object,name,correct1,correct2,correct3,image_url,control_type,rating,type,same_color,reliable1,reliable2,control_type_trimmed
0,0,107996,1073842,rocker,0.75,1.0,,http://object-naming-amore.upf.edu//107996_1073842_supercat_unique.png,alternative,"[2, 2, 2, 2]","['bounding box', 'bounding box', 'bounding box', 'visual']","[['rocker'], ['rocker'], ['rocker'], ['rocker']]",True,True,alternative
1,1,107996,1073842,shirt,0.75,,,http://object-naming-amore.upf.edu//107996_1073842_supercat_unique.png,vg_majority,"[0, 0, 1, 0]","[nan, nan, 'visual', nan]","[['sweater', 'shirt'], ['sweater', 'shirt'], ['sweater', 'shirt'], ['sweater', 'shirt']]",True,False,vg_majority
2,2,107996,1073842,sweater,,,,http://object-naming-amore.upf.edu//107996_1073842_supercat_unique.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['sweater', 'shirt'], ['sweater', 'shirt'], ['sweater', 'shirt'], ['sweater', 'shirt']]",False,False,
3,3,107996,1073842,watch,,,1.0,http://object-naming-amore.upf.edu//107996_1073842_supercat_unique.png,,"[1, 1, 1, 2]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['watch'], ['watch'], ['watch'], ['watch']]",False,False,
4,4,1238,3635438,shirt,1.0,,,http://object-naming-amore.upf.edu//1238_3635438_singleton_obj.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['shirt', 't-shirt'], ['sweater', 'shirt', 't-shirt'], ['sweater', 'shirt', 't-shirt'], ['sweater', 'shirt', 't-shirt']]",True,False,vg_majority
5,5,1238,3635438,shoebox,0.75,1.0,,http://object-naming-amore.upf.edu//1238_3635438_singleton_obj.png,alternative,"[2, 2, 2, 1]","['bounding box', 'bounding box', 'visual', 'bounding box']","[['shoebox'], ['shoebox'], ['shoebox'], ['shoebox']]",True,True,alternative
6,6,1238,3635438,sweater,,,,http://object-naming-amore.upf.edu//1238_3635438_singleton_obj.png,,"[1, 0, 0, 0]","['visual', nan, nan, nan]","[['sweater'], ['sweater', 'shirt', 't-shirt'], ['sweater', 'shirt', 't-shirt'], ['sweater', 'shirt', 't-shirt']]",False,False,
7,7,1238,3635438,t-shirt,,,,http://object-naming-amore.upf.edu//1238_3635438_singleton_obj.png,,"[0, 1, 0, 1]","[nan, 'visual', nan, 'linguistic']","[['shirt', 't-shirt'], ['sweater', 'shirt', 't-shirt'], ['sweater', 'shirt', 't-shirt'], ['sweater', 'shirt', 't-shirt']]",False,False,
8,8,1591786,1603721,apple,,,1.0,http://object-naming-amore.upf.edu//1591786_1603721_seed_ambiguous.png,,"[2, 1, 0, 0]","['bounding box', 'bounding box', nan, nan]","[['fruits', 'food', 'fruit', 'apple'], ['apple'], ['apple'], ['apple']]",False,False,
9,9,1591786,1603721,counter,,,,http://object-naming-amore.upf.edu//1591786_1603721_seed_ambiguous.png,,"[0, 1, 0, 1]","[nan, 'bounding box', nan, 'linguistic']","[['table', 'fruit stand', 'counter'], ['table', 'counter'], ['table', 'counter'], ['table', 'counter']]",False,False,
10,10,1591786,1603721,food,,,,http://object-naming-amore.upf.edu//1591786_1603721_seed_ambiguous.png,,"[1, 1, 0, 0]","['bounding box', 'visual', nan, nan]","[['fruits', 'food', 'fruit', 'apple'], ['food'], ['fruits', 'food', 'fruit'], ['fruits', 'food', 'fruit']]",False,False,
11,11,1591786,1603721,fruit,,,,http://object-naming-amore.upf.edu//1591786_1603721_seed_ambiguous.png,,"[1, 1, 0, 0]","['bounding box', 'bounding box', nan, nan]","[['fruits', 'food', 'fruit', 'apple'], ['fruits', 'fruit'], ['fruits', 'food', 'fruit'], ['fruits', 'food', 'fruit']]",False,False,
12,12,1591786,1603721,fruit stand,,,1.0,http://object-naming-amore.upf.edu//1591786_1603721_seed_ambiguous.png,,"[0, 0, 2, 0]","[nan, nan, 'bounding box', nan]","[['table', 'fruit stand', 'counter'], ['fruit stand'], ['fruit stand'], ['fruit stand']]",False,False,
13,13,1591786,1603721,fruits,1.0,1.0,,http://object-naming-amore.upf.edu//1591786_1603721_seed_ambiguous.png,syn-fruit,"[1, 1, 0, 0]","['bounding box', 'bounding box', nan, nan]","[['fruits', 'food', 'fruit', 'apple'], ['fruits', 'fruit'], ['fruits', 'food', 'fruit'], ['fruits', 'food', 'fruit']]",True,True,syn
14,14,1591786,1603721,snorkel,0.75,1.0,,http://object-naming-amore.upf.edu//1591786_1603721_seed_ambiguous.png,random,"[2, 2, 2, 2]","['other', 'other', 'visual', 'other']","[['snorkel'], ['snorkel'], ['snorkel'], ['snorkel']]",True,True,random
15,15,1591786,1603721,table,,,,http://object-naming-amore.upf.edu//1591786_1603721_seed_ambiguous.png,,"[0, 1, 0, 0]","[nan, 'bounding box', nan, nan]","[['table', 'fruit stand', 'counter'], ['table', 'counter'], ['table', 'counter'], ['table', 'counter']]",False,False,
16,16,2317212,1022693,bar,,,,http://object-naming-amore.upf.edu//2317212_1022693_singleton_obj.png,,"[0, 2, 0, 0]","[nan, 'visual', nan, nan]","[['bar', 'counter'], ['bar'], ['bar', 'counter'], ['bar']]",False,False,
17,17,2317212,1022693,chair,,,1.0,http://object-naming-amore.upf.edu//2317212_1022693_singleton_obj.png,,"[1, 2, 0, 0]","['visual', 'bounding box', nan, nan]","[['chair'], ['chair'], ['chair'], ['chair']]",False,False,
18,18,2317212,1022693,counter,1.0,,,http://object-naming-amore.upf.edu//2317212_1022693_singleton_obj.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['bar', 'counter'], ['counter'], ['bar', 'counter'], ['counter']]",True,False,vg_majority
19,19,2317212,1022693,pot,0.75,1.0,,http://object-naming-amore.upf.edu//2317212_1022693_singleton_obj.png,alternative,"[2, 2, 2, 2]","['bounding box', 'bounding box', 'visual', 'other']","[['pot'], ['pot'], ['pot'], ['pot']]",True,True,alternative
20,20,2317921,3471988,bench,1.0,,,http://object-naming-amore.upf.edu//2317921_3471988_seed_ambiguous.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['seat', 'bench'], ['seat', 'bench'], ['seat', 'bench'], ['seat', 'bench']]",True,False,vg_majority
21,21,2317921,3471988,seat,,,,http://object-naming-amore.upf.edu//2317921_3471988_seed_ambiguous.png,,"[0, 1, 1, 0]","[nan, 'visual', 'visual', nan]","[['seat', 'bench'], ['seat', 'bench'], ['seat', 'bench'], ['seat', 'bench']]",False,False,
22,22,2317921,3471988,t-shirt,,,1.0,http://object-naming-amore.upf.edu//2317921_3471988_seed_ambiguous.png,,"[2, 2, 1, 2]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['t-shirt'], ['t-shirt'], ['t-shirt'], ['t-shirt']]",False,False,
23,23,2317921,3471988,waist,1.0,1.0,,http://object-naming-amore.upf.edu//2317921_3471988_seed_ambiguous.png,alternative,"[2, 2, 1, 1]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['waist'], ['waist'], ['waist'], ['waist']]",True,True,alternative
24,24,2318399,3417848,hand,0.5,,,http://object-naming-amore.upf.edu//2318399_3417848_supercat_ambiguous.png,alternative,"[2, 0, 1, 2]","['linguistic', nan, 'bounding box', 'bounding box']","[['hand'], ['hand'], ['hand'], ['hand']]",True,False,alternative
25,25,2318399,3417848,lady,,,,http://object-naming-amore.upf.edu//2318399_3417848_supercat_ambiguous.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['woman', 'person', 'lady'], ['woman', 'person', 'lady'], ['woman', 'person', 'lady'], ['woman', 'person', 'lady']]",False,False,
26,26,2318399,3417848,person,,,,http://object-naming-amore.upf.edu//2318399_3417848_supercat_ambiguous.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['woman', 'person', 'lady'], ['woman', 'person', 'lady'], ['woman', 'person', 'lady'], ['woman', 'person', 'lady']]",False,False,
27,27,2318399,3417848,woman,,,,http://object-naming-amore.upf.edu//2318399_3417848_supercat_ambiguous.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['woman', 'person', 'lady'], ['woman', 'person', 'lady'], ['woman', 'person', 'lady'], ['woman', 'person', 'lady']]",False,False,
28,28,2318417,3392338,animal,,,,http://object-naming-amore.upf.edu//2318417_3392338_supercat_unique.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub'], ['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub'], ['animal', 'cub', 'bear', 'bear cub'], ['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub']]",False,False,
29,29,2318417,3392338,bear,,,,http://object-naming-amore.upf.edu//2318417_3392338_supercat_unique.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub'], ['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub'], ['animal', 'cub', 'bear', 'bear cub'], ['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub']]",False,False,
30,30,2318417,3392338,bear cub,,,,http://object-naming-amore.upf.edu//2318417_3392338_supercat_unique.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub'], ['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub'], ['animal', 'cub', 'bear', 'bear cub'], ['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub']]",False,False,
31,31,2318417,3392338,cub,,,,http://object-naming-amore.upf.edu//2318417_3392338_supercat_unique.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub'], ['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub'], ['animal', 'cub', 'bear', 'bear cub'], ['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub']]",False,False,
32,32,2318417,3392338,dog,,,,http://object-naming-amore.upf.edu//2318417_3392338_supercat_unique.png,,"[2, 1, 2, 2]","['visual', 'visual', 'visual', 'visual']","[['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub'], ['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub'], ['puppy', 'dog'], ['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub']]",False,False,
33,33,2318417,3392338,eye,0.75,,,http://object-naming-amore.upf.edu//2318417_3392338_supercat_unique.png,alternative,"[0, 2, 2, 2]","[nan, 'bounding box', 'bounding box', 'bounding box']","[['eye'], ['eye'], ['eye'], ['eye']]",True,False,alternative
34,34,2318417,3392338,puppy,,,,http://object-naming-amore.upf.edu//2318417_3392338_supercat_unique.png,,"[2, 1, 2, 2]","['visual', 'visual', 'visual', 'visual']","[['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub'], ['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub'], ['puppy', 'dog'], ['puppy', 'dog', 'animal', 'cub', 'bear', 'bear cub']]",False,False,
35,35,2318417,3392338,watch,,,1.0,http://object-naming-amore.upf.edu//2318417_3392338_supercat_unique.png,,"[0, 2, 1, 2]","[nan, 'bounding box', 'bounding box', 'bounding box']","[['watch'], ['watch'], ['watch'], ['watch']]",False,False,
36,36,2319991,996919,bear,,,,http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy']]",False,False,
37,37,2319991,996919,cat,,,,http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png,,"[2, 1, 1, 2]","['visual', 'linguistic', 'linguistic', 'visual']","[['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['tracks', 'cat']]",False,False,
38,38,2319991,996919,dog,,,,http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png,,"[1, 0, 0, 0]","['visual', nan, nan, nan]","[['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy']]",False,False,
39,39,2319991,996919,doll,,,,http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png,,"[1, 0, 0, 0]","['visual', nan, nan, nan]","[['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy']]",False,False,
40,40,2319991,996919,stuffed animal,,,,http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy']]",False,False,
41,41,2319991,996919,teddy,,,,http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy']]",False,False,
42,42,2319991,996919,teddy bear,,,,http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy']]",False,False,
43,43,2319991,996919,toy,,,,http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['cat', 'teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy'], ['teddy bear', 'dog', 'toy', 'stuffed animal', 'doll', 'bear', 'teddy']]",False,False,
44,44,2319991,996919,tracks,0.75,,,http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png,alternative,"[2, 2, 2, 2]","['other', 'linguistic', 'other', 'other']","[['tracks'], ['tracks'], ['tracks'], ['tracks', 'cat']]",True,False,alternative
45,45,2319992,996910,athleet,1.0,1.0,,http://object-naming-amore.upf.edu//2319992_996910_seed_ambiguous.png,typo-athlete,"[1, 1, 1, 1]","['linguistic', 'linguistic', 'linguistic', 'linguistic']","[['athlete', 'soccer player', 'athleet', 'woman', 'person', 'girl', 'player'], ['athlete', 'soccer player', 'girls', 'athleet', 'woman', 'person', 'girl', 'player'], ['athlete', 'soccer player', 'girls', 'athleet', 'woman', 'person', 'girl', 'player', 'shirt'], ['athlete', 'soccer player', 'athleet', 'woman', 'person', 'girl', 'player']]",True,True,typo
46,46,2319992,996910,athlete,,,,http://object-naming-amore.upf.edu//2319992_996910_seed_ambiguous.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['athlete', 'soccer player', 'athleet', 'woman', 'person', 'girl', 'player'], ['athlete', 'soccer player', 'girls', 'athleet', 'woman', 'person', 'girl', 'player'], ['athlete', 'soccer player', 'girls', 'athleet', 'woman', 'person', 'girl', 'player', 'shirt'], ['athlete', 'soccer player', 'athleet', 'woman', 'person', 'girl', 'player']]",False,False,
47,47,2319992,996910,girl,0.75,0.5,,http://object-naming-amore.upf.edu//2319992_996910_seed_ambiguous.png,syn-girls,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['athlete', 'soccer player', 'athleet', 'woman', 'person', 'girl', 'player'], ['athlete', 'soccer player', 'girls', 'athleet', 'woman', 'person', 'girl', 'player'], ['athlete', 'soccer player', 'girls', 'athleet', 'woman', 'person', 'girl', 'player', 'shirt'], ['athlete', 'soccer player', 'athleet', 'woman', 'person', 'girl', 'player']]",True,True,syn
48,48,2319992,996910,girls,,,1.0,http://object-naming-amore.upf.edu//2319992_996910_seed_ambiguous.png,,"[0, 0, 0, 2]","[nan, nan, nan, 'bounding box']","[['girls'], ['athlete', 'soccer player', 'girls', 'athleet', 'woman', 'person', 'girl', 'player'], ['athlete', 'soccer player', 'girls', 'athleet', 'woman', 'person', 'girl', 'player', 'shirt'], ['girls']]",False,False,
49,49,2319992,996910,person,,,,http://object-naming-amore.upf.edu//2319992_996910_seed_ambiguous.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['athlete', 'soccer player', 'athleet', 'woman', 'person', 'girl', 'player'], ['athlete', 'soccer player', 'girls', 'athleet', 'woman', 'person', 'girl', 'player'], ['athlete', 'soccer player', 'girls', 'athleet', 'woman', 'person', 'girl', 'player', 'shirt'], ['athlete', 'soccer player', 'athleet', 'woman', 'person', 'girl', 'player']]",False,False,
50,50,2319992,996910,player,,,,http://object-naming-amore.upf.edu//2319992_996910_seed_ambiguous.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['athlete', 'soccer player', 'athleet', 'woman', 'person', 'girl', 'player'], ['athlete', 'soccer player', 'girls', 'athleet', 'woman', 'person', 'girl', 'player'], ['athlete', 'soccer player', 'girls', 'athleet', 'woman', 'person', 'girl', 'player', 'shirt'], ['athlete', 'soccer player', 'athleet', 'woman', 'person', 'girl', 'player']]",False,False,
51,51,2319992,996910,shirt,,,1.0,http://object-naming-amore.upf.edu//2319992_996910_seed_ambiguous.png,,"[0, 1, 0, 2]","[nan, 'bounding box', nan, 'bounding box']","[['shirt'], ['shirt'], ['athlete', 'soccer player', 'girls', 'athleet', 'woman', 'person', 'girl', 'player', 'shirt'], ['shirt']]",False,False,
52,52,2319992,996910,shoe,,,1.0,http://object-naming-amore.upf.edu//2319992_996910_seed_ambiguous.png,,"[0, 2, 0, 2]","[nan, 'bounding box', nan, 'bounding box']","[['shoe'], ['shoe'], ['shoe'], ['shoe']]",False,False,
53,53,2319992,996910,soccer player,,,,http://object-naming-amore.upf.edu//2319992_996910_seed_ambiguous.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['athlete', 'soccer player', 'athleet', 'woman', 'person', 'girl', 'player'], ['athlete', 'soccer player', 'girls', 'athleet', 'woman', 'person', 'girl', 'player'], ['athlete', 'soccer player', 'girls', 'athleet', 'woman', 'person', 'girl', 'player', 'shirt'], ['athlete', 'soccer player', 'athleet', 'woman', 'person', 'girl', 'player']]",False,False,
